0x03F8, パターンA
0x060C, パターンA
0x15BC, パターンA
0x1626, パターンA
0x3D88, パターンA
0x4D1B, パターンB
0xBCB2, パターンB
0xC290, パターンB
0xC6AA, パターンA
0xCFAD, パターンA
0xD45D, パターンA
0xD628, パターンB
0xEA20, パターンA
0xEB51, パターンB
0xFBED, パターンA
0xFF11, パターンA
0xFF37, パターンA
0xFF41, パターンA
0xFF57, パターンA
0xFF5C, パターンA
0xFF61, パターンA
0xFF6C, パターンB
0xFF79, パターンB
0xFF7C, パターンB
0xFF7F, パターンB
0xFF81, パターンB
0xFF84, パターンB
0xFF87, パターンB
0xFF8C, パターンB
0xFF8F, パターンB
0xFF97, パターンB
0xFF99, パターンB
0xFF9C, パターンB
0xFF9F, パターンB
0xFFA1, パターンB
0xFFA4, パターンB
0xFFAC, パターンB
0xFFAF, パターンB
0xFFB1, パターンB
0xFFB4, パターンB
0xFFB7, パターンB
0xFFB9, パターンB
0xFFBC, パターンB
0xFFC4, パターンB
0xFFC7, パターンB
0xFFC9, パターンB
0xFFCE, パターンA
0xFFD1, パターンB
0xFFF9, パターンB
